id,nom_fichier,titre,auteur,annee,sujets
8907,Pot-Bouille.txt,Pot-Bouille,"Zola, Émile, 1840-1902",2005,"Paris (France) -- Fiction; France -- History -- Second Empire, 1852-1870 -- Fiction"
9261,Les grandes dames.txt,Les grandes dames,"Houssaye, Arsène, 1815-1896",2005,France -- Social life and customs -- 19th century -- Fiction; Nobility -- France -- Fiction; Good and evil -- Fiction
9453,Le Voyage de Monsieur Perrichon Comédie en quatre actes.txt,Le Voyage de Monsieur Perrichon: Comédie en quatre actes,"Labiche, Eugène, 1815-1888; Martin, Édouard, 1828-1866",2005,French drama -- 19th century
9262,Le corricolo.txt,Le corricolo,"Dumas, Alexandre, 1802-1870",2006,Naples (Italy) -- Description and travel
9637,La dame de Monsoreau — ­Tome 1.txt,La dame de Monsoreau — ­Tome 1.,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",2006,"France -- History -- Henry III, 1574-1589 -- Fiction"
9638,La dame de Monsoreau — Tome 2.txt,La dame de Monsoreau — Tome 2.,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",2006,"France -- History -- Henry III, 1574-1589 -- Fiction"
9639,La dame de Monsoreau — Tome 3.txt,La dame de Monsoreau — Tome 3.,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",2006,"France -- History -- Henry III, 1574-1589 -- Fiction"
9643,Histoire des Montagnards.txt,Histoire des Montagnards,"Esquiros, Alphonse, 1812-1876",2006,"France -- History -- Revolution, 1789-1799"
9644,Littérature et Philosophie mêlées.txt,Littérature et Philosophie mêlées,"Hugo, Victor, 1802-1885",2006,"Literature, Modern; Philosophy, Modern"
9655,Stello.txt,Stello,"Vigny, Alfred de, 1797-1863",2006,French fiction -- 19th century
9818,Les grandes journées de la Constituante.txt,Les grandes journées de la Constituante,"Mathiez, Albert, 1874-1932",2006,"France -- History -- Revolution, 1789-1799; France. Assemblée nationale constituante, 1789-1791"
9645,Quatrevingt-Treize.txt,Quatrevingt-Treize,"Hugo, Victor, 1802-1885",2006,"France -- History -- Revolution, 1789-1799 -- Fiction"
9824,Observations Géologiques sur les Îles Volcaniques Explorées par l'Expédition du Beagle.txt,"Observations Géologiques sur les Îles Volcaniques Explorées par l'Expédition du ""Beagle"" Et Notes sur la Géologie de l'Australie et du Cap de Bonne-Espérance","Darwin, Charles, 1809-1882; Renard, Alphonse-François, 1842-1903 [Translator]",2006,Beagle Expedition (1831-1836); Geology -- South America; Volcanoes -- Southern Hemisphere
9891,Conversations d'une petite fille avec sa poupée.txt,Conversations d'une petite fille avec sa poupée Suivies de l'histoire de la poupée,"Renneville, Madame de (Sophie de Senneterre), 1772-1822",2006,"Children's stories, French"
9892,La Muette de Portici Opéra en cinq actes.txt,La Muette de Portici: Opéra en cinq actes,"Auber, D. F. E. (Daniel François Esprit), 1782-1871 [Composer]; Delavigne, Germain, 1790-1868 [Librettist]; Scribe, Eugène, 1791-1861 [Librettist]",2006,Operas -- Librettos
9893,Le Comte Ory Opéra en deux actes.txt,Le Comte Ory: Opéra en deux actes,"Rossini, Gioacchino, 1792-1868 [Composer]; Delestre-Poirson, C.-G. (Charles-Gaspard), 1790-1859 [Librettist]; Scribe, Eugène, 1791-1861 [Librettist]",2006,Operas -- Librettos
9894,"Histoire de la Révolution française, Tome 02.txt","Histoire de la Révolution française, Tome 02","Thiers, Adolphe, 1797-1877",2006,"France -- History -- Revolution, 1789-1799"
9976,Hernani.txt,Hernani,"Hugo, Victor, 1802-1885",2006,Tragedies (Drama); Hernani (Fictitious character) -- Drama
